,0
0,"Dear FCC,  I'm concerned about Internet regulation and net neutrality. I want to advocate the government to overturn Obama's power grab to regulate the Internet. Americans, as opposed to the FCC, should be free to use whichever services we choose. Obama's power grab to regulate the Internet is a corruption of net neutrality. It stopped a light-touch system that worked very, very well for two decades with both parties' backing."
1,"To the Federal Communications Commission:  I have thoughts on net neutrality rules. I want to request the government to undo Obama's plan to control Internet access. People like me, not the FCC, should use whatever services we choose. Obama's plan to control Internet access is a corruption of net neutrality. It disrupted a light-touch approach that worked remarkably well for two decades with nearly universal backing."
2,"Mr Pai:  I would like to comment on network neutrality regulations. I would like to urge the commissioners to rescind Tom Wheeler's plan to take over Internet access. Americans, rather than big government, deserve to purchase the products they choose. Tom Wheeler's plan to take over Internet access is a exploitation  of the open Internet. It broke a hands-off framework that worked supremely well for decades with broad bipartisan consensus."
3,"To the FCC:  I'm very worried about Internet freedom. I suggest the commissioners to rescind Barack Obama's policy to control Internet access. Internet users, not the FCC, ought to purchase which services we want. Barack Obama's policy to control Internet access is a exploitation  of net neutrality. It disrupted a light-touch approach that worked very successfully for decades with bipartisan consensus."
4,"Dear Chairman Pai,  I'm concerned about Title 2 and net neutrality. I'd like to ask the Federal Communications Commission to rescind Tom Wheeler's decision to take over Internet access. Individual citizens, not Washington, should be able to use the applications they prefer. Tom Wheeler's decision to take over Internet access is a corruption of the open Internet. It undid a hands-off policy that worked supremely smoothly for decades with nearly universal approval."
5,"Mr Pai:  I'm very worried about net neutrality and Title II. I would like to urge the government to reverse Tom Wheeler's order to take over the Internet. Individuals, not the FCC, should be empowered to purchase whatever services we prefer. Tom Wheeler's order to take over the Internet is a exploitation  of the open Internet. It broke a hands-off policy that worked very smoothly for a long time with broad bipartisan consensus."
6,"FCC commissioners,  I'm contacting you about the FCC's Open Internet order. I'd like to suggest the government to undo Obama's policy to control Internet access. Individuals, rather than unelected bureaucrats, should enjoy whichever products they prefer. Obama's policy to control Internet access is a corruption of net neutrality. It broke a light-touch approach that performed remarkably smoothly for many years with bipartisan support."
7,"Dear Commissioners:  I'd like to share my thoughts on Internet freedom. I strongly encourage the commissioners to repeal The Obama/Wheeler order to regulate Internet access. People like me, not unelected bureaucrats, should be free to use whatever products they choose. The Obama/Wheeler order to regulate Internet access is a corruption of the open Internet. It broke a hands-off system that performed fabulously successfully for a long time with both parties' support."
8,"Dear FCC,  I'm concerned about net neutrality and Title II. I strongly recommend the commissioners to rescind Obama's power grab to take over Internet access. People like me, as opposed to so-called experts, should select the services we choose. Obama's power grab to take over Internet access is a exploitation  of net neutrality. It reversed a market-based system that functioned remarkably well for two decades with broad bipartisan approval."
9,"We need the FCC to defend the rights of millions of Internet users by upholding net neutrality protections. 

The FCC should throw out Chairman Ajit Pai’s proposal to hand the ISP monopolies like Comcast, AT&T, and Verizon the legal cover to engage in data discrimination, stripping users of the meaningful access and privacy safeguards we demanded and just recently won. 

I’m worried about creating a tiered Internet with “fast lanes” for certain sites or services because ISPs could have too much power to determine what I can do online. Thankfully, the current FCC regulations ensure that ISP monopolies can’t block or slow our access to certain websites or engage in data discrimination by charging online services and websites money to reach people faster. That’s the best way forward to ensure the Internet remains a level playing field that benefits Internet users and small businesses as well as entrenched Internet companies. Pai’s proposed repeal of the rules would help turn ISPs into Internet gatekeepers with an effective veto right on innovation and expression. That’s contrary to the basic precepts on which the Internet was built. 

Thank you for keeping Title II net neutrality rules in place to protect Internet users like me."
